aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.1375,0.3967,1.2142,-9.4604,32.1045,4.5776,5.7251,-23.6694,-8.4595
0.1278,0.4481,1.2242,-5.4932,33.7524,1.1597,5.7251,-23.6694,-8.4595
0.1161,0.4948,1.2250,-3.9062,37.7808,-6.2256,6.7261,-23.8281,-7.9468
0.1074,0.6499,1.1714,-2.6855,39.6118,-11.1084,6.7261,-23.8281,-7.9468
0.0841,0.6801,1.1786,-3.9062,40.9546,-17.5171,6.7261,-23.8281,-7.9468
0.0792,0.6792,1.1528,-0.6104,45.1660,-30.9448,6.7261,-23.8281,-7.9468
0.0681,0.6549,0.9993,1.5869,47.1191,-36.6821,8.0933,-22.8149,-7.9468
0.0652,0.6709,0.8806,-0.6714,48.0957,-42.3584,8.0933,-22.8149,-7.9468
0.0529,0.7065,0.7677,-4.5166,46.7529,-54.1992,8.0933,-22.8149,-7.9468
0.0736,0.7965,0.4961,-5.4321,44.3115,-61.3403,8.0933,-22.8149,-7.9468
0.0742,0.7733,0.3846,-3.7842,40.4663,-69.2139,8.0933,-22.8149,-7.9468
0.0658,0.7181,0.2831,-11.4746,30.8228,-84.8999,9.3506,-22.3511,-7.0801
0.0574,0.6550,0.1022,-19.7754,25.2686,-92.5903,9.3506,-22.3511,-7.0801
0.0673,0.6686,-0.0865,-19.3481,18.7378,-99.5483,9.3506,-22.3511,-7.0801
0.0554,0.6958,-0.3629,-26.2451,0.3052,-115.7837,9.3506,-22.3511,-7.0801
-0.0106,0.7018,-0.9214,-33.8745,-13.6719,-126.2817,9.5093,-21.3257,-7.5684
-0.0527,0.4323,-0.9565,-50.5371,-31.9214,-137.8784,9.5093,-21.3257,-7.5684
-0.1169,-0.0546,-0.7994,-73.8525,-69.1528,-152.4658,9.5093,-21.3257,-7.5684
-0.1566,-1.1503,-0.5219,-71.1060,-84.5947,-149.1699,9.5093,-21.3257,-7.5684
-0.1581,-1.5800,-0.4574,-62.9883,-98.7549,-138.4888,9.5093,-21.3257,-7.5684
-0.1504,-1.8336,-0.2947,-59.5093,-124.8779,-103.4546,5.5542,-22.5464,-4.6143
-0.1694,-1.9019,0.1321,-58.0444,-134.5825,-83.5571,5.5542,-22.5464,-4.6143
-0.2131,-1.9253,0.4313,-54.4434,-142.5171,-65.0635,5.5542,-22.5464,-4.6143
-0.2352,-1.9276,0.7174,-38.3911,-150.0854,-29.7241,5.5542,-22.5464,-4.6143
