aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.3058,-0.3408,1.3716,-37.2314,-21.3623,-12.3901,11.4746,-17.9688,-9.8389
0.2871,-0.3582,1.5189,-42.6636,-21.3623,-11.8408,11.5723,-18.2373,-8.6548
0.2900,-0.3865,1.6549,-40.3442,-18.2495,-9.7046,11.5723,-18.2373,-8.6548
0.3022,-0.4702,1.9674,-39.8560,-14.6484,-8.2397,11.5723,-18.2373,-8.6548
0.3068,-0.5070,2.1082,-42.3584,-9.2773,-6.0425,11.5723,-18.2373,-8.6548
0.2863,-0.5159,2.2340,-61.0352,4.7607,-1.6479,11.5723,-18.2373,-8.6548
0.2026,-0.4209,2.4301,-66.5894,13.1836,1.5259,11.1572,-19.7388,-8.9844
0.1628,-0.3439,2.5016,-65.9790,22.0337,3.9062,11.1572,-19.7388,-8.9844
0.1229,-0.2793,2.5991,-54.0771,42.9077,5.0049,11.1572,-19.7388,-8.9844
0.0709,-0.2931,2.6902,-52.0020,55.8472,3.8452,11.1572,-19.7388,-8.9844
0.0403,-0.3584,2.6759,-53.7109,69.6411,2.5024,11.0718,-21.7163,-7.0435
-0.0039,-0.4285,2.6266,-62.9883,97.9004,1.4648,11.0718,-21.7163,-7.0435
-0.0667,-0.5088,2.4199,-62.8052,111.8774,2.4414,11.0718,-21.7163,-7.0435
-0.0950,-0.5344,2.2411,-59.1431,124.8169,3.6011,11.0718,-21.7163,-7.0435
-0.1196,-0.5675,2.0123,-46.6309,147.2778,7.4463,11.0718,-21.9604,-6.3599
-0.1632,-0.5668,1.4890,-42.0532,155.3955,10.3149,12.5122,-21.9604,-6.3599
-0.1796,-0.5356,1.2577,-34.8511,161.0718,13.7329,12.5122,-21.9604,-6.3599
-0.1646,-0.5002,1.0399,-14.2822,167.5415,20.3247,12.5122,-21.9604,-6.3599
-0.1246,-0.4365,0.5559,-2.9297,168.3350,23.5596,12.5122,-21.9604,-6.3599
-0.1014,-0.3896,0.3049,7.0801,167.0532,26.5503,16.7969,-22.2534,-5.6519
-0.0563,-0.3141,0.0537,13.9771,158.3252,31.2500,16.7969,-22.2534,-5.6519
0.0393,-0.1693,-0.3367,10.0708,150.8179,31.7993,16.7969,-22.2534,-5.6519
0.0955,-0.1191,-0.4825,4.5166,141.7847,31.1279,16.7969,-22.2534,-5.6519
0.1483,-0.1051,-0.6029,-0.1221,115.6006,28.5034,21.4844,-23.3521,-5.6274
0.2515,-0.1157,-0.7704,0.5493,108.0933,27.4048,21.4844,-23.3521,-5.6274
0.3024,-0.1304,-0.8451,4.2725,95.5200,26.7334,21.4844,-23.3521,-5.6274
0.3367,-0.1556,-0.8971,3.4180,69.2139,26.1230,21.4844,-23.3521,-5.6274
0.3403,-0.1710,-0.9557,-1.3428,55.5420,25.7568,21.4844,-23.3521,-5.6274
0.3441,-0.2122,-0.9204,-5.4321,41.6260,24.9023,23.0835,-23.5352,-4.4434
0.3492,-0.2759,-0.8101,-9.7656,16.8457,24.1699,23.0835,-23.5352,-4.4434
0.3632,-0.4216,-0.6130,-5.4932,7.2632,24.8413,23.0835,-23.5352,-4.4434
0.3566,-0.5139,-0.5796,1.0986,-0.6104,26.4282,23.0835,-23.5352,-4.4434
