aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.0560,-0.3427,1.4091,24.3530,-51.5137,-37.1094,-2.0630,-14.8926,-14.2212
0.0353,-0.4166,1.4628,17.8223,-47.9126,-37.8418,-2.0630,-14.8926,-14.2212
0.0114,-0.5159,1.5017,4.6387,-39.5508,-37.1094,-2.0630,-14.8926,-14.2212
-0.0291,-0.6975,1.5844,-1.8921,-35.2783,-34.9731,-5.1880,-14.7339,-12.6953
-0.0354,-0.7694,1.6191,-7.3853,-31.0059,-31.6772,-3.2104,-14.7339,-12.6953
-0.0355,-0.8342,1.6501,-19.0430,-21.9727,-22.1558,-3.2104,-14.7339,-12.6953
-0.0552,-0.9182,1.6951,-25.8179,-17.1509,-16.0522,-3.2104,-14.7339,-12.6953
-0.0670,-0.9224,1.6969,-31.5552,-12.3291,-9.5215,-3.2104,-14.7339,-12.6953
-0.0874,-0.9028,1.7092,-39.6118,-3.7842,3.0518,-3.2104,-16.5161,-13.1958
-0.0947,-0.8179,1.7948,-40.5273,0.2441,9.3994,-3.2104,-16.5161,-13.1958
-0.0870,-0.7799,1.8691,-38.3301,5.4932,15.3198,-3.2104,-16.5161,-13.1958
-0.0790,-0.7369,1.8896,-46.1426,20.0806,24.9634,-3.2104,-16.5161,-13.1958
-0.0691,-0.6110,1.7982,-52.3682,28.0151,28.9307,-2.7832,-18.1641,-12.3413
-0.0635,-0.5269,1.7057,-61.5234,35.9497,32.2266,-2.7832,-18.1641,-12.3413
-0.0636,-0.4321,1.6042,-77.2095,49.3164,35.7666,-2.7832,-18.1641,-12.3413
-0.0813,-0.2703,1.3934,-79.9561,53.6499,36.2549,-2.7832,-18.1641,-12.3413
-0.0701,-0.2164,1.3092,-79.1016,56.5186,36.2549,-2.7832,-18.1641,-12.3413
-0.0568,-0.1566,1.2389,-71.8994,60.0586,35.1563,-1.0132,-21.0449,-10.9497
-0.0143,-0.0997,1.1331,-73.7915,61.2793,33.3862,-1.0132,-21.0449,-10.9497
-0.0082,-0.0751,1.0897,-78.1860,62.2559,31.9214,-1.0132,-21.0449,-10.9497
-0.0055,-0.0308,1.0508,-76.9043,62.8662,29.6631,-1.0132,-21.0449,-10.9497
0.0140,0.0759,0.9164,-74.2798,61.9507,28.1982,0.1953,-23.8281,-8.7036
-0.0135,0.0698,0.9718,-79.0405,60.9131,25.3906,0.1953,-23.8281,-8.7036
-0.0289,0.0452,1.0223,-62.7441,58.7769,21.7896,0.1953,-23.8281,-8.7036
-0.0193,0.0261,1.1897,-57.9834,59.3872,21.2402,0.1953,-23.8281,-8.7036
-0.0138,0.0210,1.2578,-53.2227,61.2183,20.9961,0.1953,-23.8281,-8.7036
-0.0071,0.0280,1.2639,-48.4619,68.4814,21.4233,1.8799,-24.8413,-7.0923
-0.0114,0.0649,1.1119,-47.7295,72.0215,21.5454,1.8799,-24.8413,-7.0923
-0.0109,0.0890,1.0153,-49.3164,74.9512,21.5454,1.8799,-24.8413,-7.0923
0.0021,0.1326,0.9429,-52.6123,76.7822,20.8130,1.8799,-24.8413,-7.0923
0.0304,0.2349,0.8717,-53.1616,77.3926,19.4702,2.8442,-26.0498,-6.7993
0.0343,0.2695,0.8357,-49.7437,77.0874,18.1274,2.8442,-26.0498,-6.7993
0.0410,0.3135,0.7803,-45.5933,76.6602,0.9155,2.8442,-26.0498,-6.7993
0.0413,0.3538,0.7157,-40.2832,74.2798,12.2070,2.8442,-26.0498,-6.7993
0.0590,0.4514,0.6053,-38.5742,72.3877,8.9722,2.8442,-26.0498,-6.7993
0.0717,0.4739,0.5583,-34.6069,69.5801,5.1880,4.1870,-25.9766,-5.8838
0.0785,0.4946,0.5369,-31.4331,66.3452,1.2817,4.1870,-25.9766,-5.8838
0.0789,0.5259,0.5377,-30.8228,59.0820,-6.2866,4.1870,-25.9766,-5.8838
0.0844,0.5867,0.6447,-31.1890,56.0303,-11.0474,4.1870,-25.9766,-5.8838
0.0934,0.5964,0.6796,-29.2969,53.8330,-16.2964,4.1870,-25.9766,-5.8838
0.0978,0.5917,0.6891,-25.9399,52.1240,-26.0620,5.8472,-26.4893,-5.4199
0.0884,0.5564,0.6404,-18.2495,48.8281,-30.6396,5.8472,-26.4893,-5.4199
0.0896,0.5309,0.6090,-14.5874,46.6309,-35.0952,5.8472,-26.4893,-5.4199
