aX, aY, aZ, gX, gY, gZ, mX, mY, mZ
0.4529,-0.7734,-1.1367,37.7197,10.2539,1.3428,18.6523,-3.7476,-5.6641
0.4427,-0.7668,-1.3075,37.6587,-6.2866,3.4180,18.6523,-3.7476,-5.6641
0.4316,-0.7555,-1.4242,19.2871,-47.3633,5.2490,18.8477,-3.6255,-5.1270
0.3351,-0.7388,-1.4424,8.9722,-70.0684,5.7983,18.8477,-3.6255,-5.1270
0.2712,-0.7175,-1.3496,-1.2207,-92.7124,6.3477,18.8477,-3.6255,-5.1270
0.1914,-0.7112,-1.2179,-7.2632,-134.7046,7.2021,18.8477,-3.6255,-5.1270
0.0209,-0.7197,-0.7783,-8.4229,-153.0762,7.9346,14.9292,-4.0405,-5.1270
-0.0552,-0.7471,-0.5575,-6.7139,-168.7012,9.2773,14.9292,-4.0405,-5.1270
-0.1196,-0.7700,-0.2911,-15.0146,-193.2373,13.3057,14.9292,-4.0405,-5.1270
-0.2405,-0.6960,0.4745,-18.5547,-200.6836,15.7471,14.9292,-4.0405,-5.1270
-0.2710,-0.6697,0.7987,-18.3105,-203.1250,18.1885,14.9292,-4.0405,-5.1270
-0.2755,-0.5215,1.1155,-27.9541,-197.0215,23.0103,9.6191,-6.2500,-7.4463
-0.2673,-0.2445,1.6334,-32.4097,-188.6597,21.6675,9.6191,-6.2500,-7.4463
-0.2388,-0.2673,1.7841,-32.4097,-177.7344,18.4937,9.6191,-6.2500,-7.4463
-0.2068,-0.3247,1.8325,-12.5732,-154.9683,14.5264,9.6191,-6.2500,-7.4463
-0.1838,-0.4956,1.9575,-8.4839,-142.4561,14.0381,6.3599,-8.5571,-7.8003
-0.1465,-0.4865,1.9988,-6.2866,-130.5542,15.2588,6.3599,-8.5571,-7.8003
-0.1370,-0.3901,2.0558,-15.1367,-106.8115,16.1743,6.3599,-8.5571,-7.8003
-0.1144,-0.3389,2.0839,-20.6909,-94.8486,14.6484,6.3599,-8.5571,-7.8003
-0.0995,-0.3363,2.0884,-20.4468,-83.8623,13.9771,6.3599,-8.5571,-7.8003
-0.0896,-0.3296,2.0988,-13.3057,-63.9648,11.9019,4.4434,-10.5835,-9.1797
-0.0787,-0.3549,2.1210,-10.0708,-54.5044,11.3525,4.4434,-10.5835,-9.1797
-0.0746,-0.3353,2.1029,-5.7373,-45.4102,10.9863,4.4434,-10.5835,-9.1797
-0.0676,-0.2914,2.0751,6.3477,-28.5645,10.1929,4.4434,-10.5835,-9.1797
-0.0481,-0.1760,1.9688,11.2915,-20.9961,8.8501,3.2349,-10.8154,-10.6323
-0.0416,-0.1355,1.9279,13.6108,-14.0991,6.7749,3.2349,-10.8154,-10.6323
-0.0494,-0.1211,1.9338,10.1318,-2.0142,1.0376,3.2349,-10.8154,-10.6323
-0.0657,-0.1340,1.9801,7.5073,4.5166,-2.0752,3.2349,-10.8154,-10.6323
-0.0740,-0.1232,1.9388,6.3477,12.4512,-4.2725,3.3081,-10.3394,-10.2783
-0.0759,-0.1267,1.8491,6.9580,27.7710,-9.5825,3.3081,-10.3394,-10.2783
-0.0769,-0.1379,1.7574,4.1504,34.6069,-12.5732,3.3081,-10.3394,-10.2783
-0.0850,-0.1768,1.7186,3.8452,41.1987,-15.4419,3.3081,-10.3394,-10.2783
-0.0944,-0.2003,1.6600,4.9438,53.8940,-19.4092,3.3081,-10.3394,-10.2783
-0.0918,-0.1744,1.4653,9.7656,59.5093,-20.9961,5.0415,-9.3506,-9.2651
-0.0874,-0.1615,1.3535,13.1836,64.1479,-22.7051,5.0415,-9.3506,-9.2651
-0.0734,-0.1532,1.2766,11.7798,69.5190,-27.4048,5.0415,-9.3506,-9.2651
-0.0741,-0.1754,1.1882,10.2539,71.3501,-29.6021,5.0415,-9.3506,-9.2651
-0.0630,-0.1899,1.1300,9.5215,72.8760,-31.3721,6.6895,-8.2886,-6.7993
-0.0564,-0.1897,1.0728,6.6528,74.7681,-34.8511,6.6895,-8.2886,-6.7993
-0.0304,-0.1467,1.0018,4.1504,74.9512,-36.8042,6.6895,-8.2886,-6.7993
-0.0195,-0.1426,1.0103,2.8687,74.5850,-39.3677,6.6895,-8.2886,-6.7993
-0.0118,-0.1530,1.0212,3.0518,74.0356,-44.4336,6.6895,-8.2886,-6.7993
-0.0040,-0.1611,1.0909,2.6245,74.4629,-46.7529,8.0200,-7.1899,-7.2754
-0.0006,-0.1516,1.1251,2.7466,75.2563,-49.1333,8.0200,-7.1899,-7.2754
-0.0100,-0.1155,1.1837,-1.5869,78.1250,-54.8706,8.0200,-7.1899,-7.2754
-0.0114,-0.1066,1.3180,-0.5493,81.2988,-59.0820,8.0200,-7.1899,-7.2754
-0.0186,-0.1581,1.3264,1.5869,86.0596,-63.3545,7.9712,-4.7485,-6.4209
-0.0228,-0.2120,1.2891,7.5073,97.0459,-70.2515,7.9712,-4.7485,-6.4209
-0.0428,-0.3862,1.0757,9.9487,102.2949,-72.9370,7.9712,-4.7485,-6.4209
-0.0468,-0.4896,0.9387,10.1318,106.8115,-74.8901,7.9712,-4.7485,-6.4209
-0.0590,-0.5891,0.8148,8.6670,112.7930,-75.5005,7.9712,-4.7485,-6.4209
-0.0670,-0.7562,0.5212,10.9863,114.8682,-74.7681,8.4595,-3.0273,-5.1514
-0.0544,-0.8231,0.3259,10.7422,115.8447,-73.6084,8.4595,-3.0273,-5.1514
-0.0513,-0.8901,0.1191,6.1035,111.4502,-71.0449,8.4595,-3.0273,-5.1514
0.0244,-1.1201,-0.2283,5.3711,105.5908,-69.5801,8.4595,-3.0273,-5.1514
0.0874,-1.2621,-0.3611,3.5400,97.7173,-66.7725,8.9966,-2.1484,-5.6763
